PHASE I,,
Healthy Adults,,
2025,"BMS CN0120012: A Phase 1, 4-part, Open-label Study to Evaluate the Effects of CYP2D6 Phenotypes on the Pharmacokinetics of Xanomeline Following KarXT Administration in Healthy Adults Participants","BMS: A Phase 1, 4-part, Open-label Study to Evaluate the Effects of XXX Phenotypes on the Pharmacokinetics of Xanomeline Following XXX Administration in Healthy Adults Participants"
2025,"ENSHO THERAPEUTICS NSHO-101-HV202: A Phase 1 Study to Evaluate the Phannacokinetics, Safety, and Tolerability of NSHO-101 in Healthy Participants","ENSHO THERAPEUTICS: A Phase 1 Study to Evaluate the Phannacokinetics, Safety, and Tolerability of XXX in Healthy Participants"
2025,"ABBVIE M24-931: A Phase 1 Multiple Ascending Dose, Drug-Drug Interaction, and Asian Pharmacokinetic Study of XXXX","ABBVIE: A Phase 1 Multiple Ascending Dose, Drug-Drug Interaction, and Asian Pharmacokinetic Study of XXXX"
2025,ABBVIE M24-920: A Phase 1 Pharmacokinetic Study in Healthy Subjects to Evaluate the Relative Bioavailability of Risankizumab Following Subcutaneous Administration with On-Body Injector,ABBVIE: A Phase 1 Pharmacokinetic Study in Healthy Subjects to Evaluate the Relative Bioavailability of XXX Following Subcutaneous Administration with On-Body Injector
2025,"ABBVIE M25-491: A Phase 1, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Single Ascending Subcutaneous Doses of ABBV‑701 in Healthy Adult Western and Asian Subjects","ABBVIE: A Phase 1, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Single Ascending Subcutaneous Doses of XXX in Healthy Adult Western and Asian Subjects"
2025,"GENFIT G1090N_P1_25_1: A Phase 1, Open-Label Study to Assess Pharmacokinetics, Safety, and Tolerability of G1090N in Healthy Subjects","GENFIT: A Phase 1, Open-Label Study to Assess Pharmacokinetics, Safety, and Tolerability of XXX in Healthy Subjects"
2025,"BMS CN0080026: A Phase 1, Randomized, Open-label, Parallel, Single-dose Study to Assess the Pharmacokinetics, Tolerability, and Absolute Bioavailability of Subcutaneous Administration of XXXX, an Anti-MTBR Tau Monoclonal Antibody, in Healthy Participants","BMS: A Phase 1, Randomized, Open-label, Parallel, Single-dose Study to Assess the Pharmacokinetics, Tolerability, and Absolute Bioavailability of Subcutaneous Administration of XXXX, an Anti-MTBR Tau Monoclonal Antibody, in Healthy Participants"
2025,"CELLARITY CLY124-HVS-101: A Phase 1, Randomized, Placebo-Controlled, Double Blind, Single and Multiple Ascending Dose Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX in Healthy Volunteers and Participants with Sickle Cell Disease","CELLARITY: A Phase 1, Randomized, Placebo-Controlled, Double Blind, Single and Multiple Ascending Dose Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX in Healthy Volunteers and Participants with Sickle Cell Disease"
2025,ELI LILLY J6H-MC-KXAA: A Single-Ascending Dose Study to Evaluate the Safety and Pharmacokinetics of XXXX in Healthy Participants.,ELI LILLY: A Single-Ascending Dose Study to Evaluate the Safety and Pharmacokinetics of XXXX in Healthy Participants.
,,
2025,"ELI LILLY AND COMPANY J4O-MC-EZHA: A single-ascending and multiple-ascending dose study of XXXX in healthy participants, participants with obesity and hypertension, and participants with decreased estimated glomerular filtration rate.","ELI LILLY AND COMPANY: A single-ascending and multiple-ascending dose study of XXXX in healthy participants, participants with obesity and hypertension, and participants with decreased estimated glomerular filtration rate."
2025,"ELI LILLY AND COMPANY J6E-MC-KWAC: A Phase 1 Study to Further Investigate the Pharmacokinetics, Safety and Tolerability, Food Effect and Drug-Drug Interaction of XXXX (XXX) in Healthy Participants","ELI LILLY AND COMPANY: A Phase 1 Study to Further Investigate the Pharmacokinetics, Safety and Tolerability, Food Effect and Drug-Drug Interaction of XXXX (XXX) in Healthy Participants"
2025,"GILEAD GS-US-683-6908: A Phase 1 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Volunteers and to Evaluate the Effect of Food and Acid-Reducing Agents on XXXX Pharmacokinetics","GILEAD: A Phase 1 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Volunteers and to Evaluate the Effect of Food and Acid-Reducing Agents on XXXX Pharmacokinetics"
2025,"GILEAD GS-US-671-6974: A Phase 1 Study in Healthy Participants to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX, and the Effect of Food and Acid-Reducing Agents on the Pharmacokinetics and Pharmacodynamics of XXXX","GILEAD: A Phase 1 Study in Healthy Participants to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX, and the Effect of Food and Acid-Reducing Agents on the Pharmacokinetics and Pharmacodynamics of XXXX"
2025,"VISTERRA VIS954-102: A phase 1, randomized, placebo-controlled, double blind, multiple ascending dose trial to assess the safety, tolerability, pharmacokinetics, and pharmacodynamics of XXXX in healthy participants.","VISTERRA: A phase 1, randomized, placebo-controlled, double blind, multiple ascending dose trial to assess the safety, tolerability, pharmacokinetics, and pharmacodynamics of XXXX in healthy participants."
 ,,
2025,MERCK MK-7962: A Phase 1 Clinical Study in Healthy Females of Nonchildbearing Potential to Compare the Pharmacokinetics of XXXX (XXXX) Administered as a Liquid Formulation in an Autoinjector Versus the Lyophilized Formulation Cardiovascular,MERCK: A Phase 1 Clinical Study in Healthy Females of Nonchildbearing Potential to Compare the Pharmacokinetics of XXXX (XXXX) Administered as a Liquid Formulation in an Autoinjector Versus the Lyophilized Formulation Cardiovascular
2025,"GENENTECH GP44770: A Phase 1, Randomized, Two-Part, Parallel-Group Study to Assess the Bioequivalence of Subcutaneously Administered Trastuzumab Via Different Subcutaneous Delivery Platforms in Healthy Male Subjects","GENENTECH: A Phase 1, Randomized, Two-Part, Parallel-Group Study to Assess the Bioequivalence of Subcutaneously Administered XXX Via Different Subcutaneous Delivery Platforms in Healthy Male Subjects"
2025,"VIATRIS INNOVATION GmbH ID-076-110:  Single-center, double-blind trial to assess the pharmacokinetics, the pharmacodynamics, and the tolerability of a single 16 mg dose of selatogrel (ACT-246475) in healthy Japanese and Caucasian participants","VIATRIS INNOVATION GmbH:  Single-center, double-blind trial to assess the pharmacokinetics, the pharmacodynamics, and the tolerability of a single 16 mg dose of XXX (XXX) in healthy Japanese and Caucasian participants"
2024,ABBVIE M24-342: A Phase 1 Pharmacokinetic Study in Healthy Subjects to Evaluate the Relative Bioavailability of Two Formulations of Risankizumab Following Subcutaneous Administration with Prefilled Syringes,ABBVIE: A Phase 1 Pharmacokinetic Study in Healthy Subjects to Evaluate the Relative Bioavailability of Two Formulations of XXX Following Subcutaneous Administration with Prefilled Syringes
2024,"ABBVIE M25-527: A Study to Evaluate Pharmacokinetics, Safety, and Tolerability of Emraclidine in Healthy Adult Western, Japanese, and Han Chinese Subjects","ABBVIE: A Study to Evaluate Pharmacokinetics, Safety, and Tolerability of XXX in Healthy Adult Western, Japanese, and Han Chinese Subjects"
2024,"ABBVIE M25-528: An Open-label Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of Icalcaprant in Healthy Adult Japanese and Han Chinese Subjects","ABBVIE: An Open-label Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of XXX in Healthy Adult Japanese and Han Chinese Subjects"
2024,"ALLIANTHERA ATB102: A Phase I, Randomized, Placebo-Controlled, Sequential Single and Multiple Dose-Escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of Oral YUQ-A1007 in Healthy Volunteers","ALLIANTHERA: A Phase I, Randomized, Placebo-Controlled, Sequential Single and Multiple Dose-Escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of Oral XXX in Healthy Volunteers"
